"experiment","run","step","total_delivered_value","total_seized_value","count_links","first_yellow_tick","count_links_with_color_yellow","seizure_rate_pct","yellow_link_rate_pct","drug_through_yellow_rate_pct","clustering_rate_pct","never_adapted","cartel_type","enforcement_target","enforcement_duration"
"Exp1_Adaptive_Busiest_Short",29,1000,4368,1067,200,5,147,19.63,73.5,40.33,9.16,FALSE,"Adaptive","Busiest","Short"
"Exp1_Adaptive_Busiest_Short",30,1000,4387,1112,217,5,156,20.22,71.89,41.08,12.68,FALSE,"Adaptive","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",1,1000,4108,1298,143,5,49,24.01,34.27,20.91,5.6,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",2,1000,4293,1216,162,9,50,22.07,30.86,24.79,7.58,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",3,1000,4154,1283,132,4,30,23.6,22.73,16.99,4.55,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",4,1000,4260,1239,147,4,39,22.53,26.53,18.66,4.62,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",5,1000,4405,1186,186,5,62,21.21,33.33,26.01,9.8,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",6,1000,4253,1303,152,5,50,23.45,32.89,23.76,4.8,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",7,1000,4360,1168,147,3,15,21.13,10.2,3.08,1.76,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",8,1000,4203,1195,146,92,39,22.14,26.71,35.53,6.09,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",9,1000,4268,1224,143,6,31,22.29,21.68,20.66,4.68,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",10,1000,4177,1232,136,5,30,22.78,22.06,24.78,5.78,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",11,1000,4260,1269,146,4,38,22.95,26.03,21.57,4.84,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",12,1000,4144,1321,148,96,29,24.17,19.59,15.81,3.61,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",13,1000,4285,1263,157,4,51,22.76,32.48,19.02,6.91,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",14,1000,4148,1285,145,4,38,23.65,26.21,17.7,10,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",15,1000,4135,1237,140,127,16,23.03,11.43,7.23,3.25,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",16,1000,4219,1266,151,5,49,23.08,32.45,24.29,6.83,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",17,1000,4296,1241,132,5,48,22.41,36.36,28.43,2.87,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",18,1000,4105,1366,146,4,59,24.97,40.41,29.33,7.25,FALSE,"Stubborn","Busiest","Short"
"Exp2_Stubborn_Busiest_Short",19,1000,4268,1182,127,5,8,21.69,6.3,5.42,2.41,FALSE,"Stubborn","Busiest","Short"
